,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,2009,4,30,8,58,19,323,47,24,4,121,70,9,17,120,47,22,22,40,38,8,50,46,76,44,25,66,9,10,15,19,71,15,129,79,9,74,33,27,100,5,28,5,45,209,20,7,63,48,10,40,3
1,2010,1,40,6,41,25,287,32,16,4,155,77,8,16,95,57,26,23,31,30,9,44,49,86,41,25,41,9,21,13,11,76,15,147,76,9,91,20,27,83,4,36,3,49,201,26,7,60,39,18,38,6
2,2010,2,39,4,50,13,278,42,26,4,137,90,11,6,96,61,21,14,34,38,10,48,59,80,41,19,48,6,20,23,11,65,25,167,70,5,88,35,22,105,13,41,11,65,193,25,5,71,43,14,29,6
3,2010,3,37,2,60,26,292,42,35,10,140,67,9,9,112,57,25,28,33,32,10,46,47,56,40,16,44,5,12,27,7,67,12,144,64,6,87,33,20,83,9,32,8,52,176,26,6,62,55,18,45,8
4,2010,4,34,6,41,27,265,37,23,9,154,76,6,9,97,52,32,16,33,58,12,55,50,55,28,17,49,6,13,13,11,78,8,151,70,7,87,19,44,106,12,36,5,41,203,23,6,52,55,22,43,3
5,2011,1,29,6,43,17,304,48,24,4,129,76,11,15,91,31,21,22,32,31,6,44,53,69,38,20,41,7,16,13,8,59,18,141,83,7,92,23,24,84,8,37,9,42,210,26,4,53,49,12,50,6
6,2011,2,21,11,59,19,291,44,26,4,120,77,10,12,100,50,24,24,33,41,14,43,49,70,32,19,43,8,16,19,12,76,14,152,75,6,92,29,23,94,7,31,2,53,190,16,6,60,58,9,50,4
7,2011,3,37,3,42,23,283,35,30,7,159,74,12,11,88,47,18,18,27,30,16,36,46,70,40,29,53,4,15,15,15,55,14,143,83,5,57,25,26,86,16,21,13,41,182,34,5,65,54,16,46,7
8,2011,4,34,5,45,16,277,43,38,5,134,73,13,9,118,37,31,23,27,32,2,48,34,90,37,17,59,5,12,19,18,63,17,139,73,7,87,26,37,88,5,34,9,47,175,23,8,65,42,17,49,9
9,2012,1,37,5,56,21,265,53,30,8,153,77,7,12,105,54,24,26,35,38,10,34,63,73,43,24,59,8,16,18,9,74,19,121,83,7,81,31,33,98,12,30,6,57,185,26,2,77,52,13,36,4
