,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,2009,4,36,5,56,20,289,43,29,3,152,82,12,11,98,45,26,28,28,31,18,53,52,58,44,19,46,7,14,23,12,54,18,144,76,4,82,20,26,108,5,28,5,53,231,17,4,55,55,20,48,4
1,2010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
2,2010,2,8,5,12,8,26,5,6,1,22,12,8,5,17,11,5,4,7,8,6,9,10,14,11,2,10,3,0,8,4,4,7,23,17,10,13,5,11,12,8,10,3,9,27,7,4,8,6,3,12,5
3,2010,3,10,3,13,7,44,3,2,10,18,15,5,3,14,8,6,7,10,11,3,11,13,8,9,4,8,6,6,5,5,9,10,14,15,2,11,9,7,14,4,1,1,14,32,4,4,11,8,4,7,5
4,2010,4,7,6,8,7,26,5,7,2,19,19,11,4,13,9,3,4,4,2,3,8,5,17,9,2,7,8,5,5,7,9,4,20,23,6,11,8,7,16,5,10,6,8,24,4,2,10,11,3,6,10
5,2011,1,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,6,0,0,0,0,3
6,2011,2,6,6,5,5,8,2,4,2,5,7,7,3,7,4,5,4,3,3,2,3,11,7,7,3,9,5,5,12,9,5,5,12,1,6,10,2,4,12,5,7,2,6,7,8,9,4,5,5,10,6
7,2011,3,4,6,5,2,4,4,9,2,6,1,1,6,4,6,3,4,4,6,3,3,6,5,8,2,3,5,4,5,4,4,6,7,5,6,3,6,5,4,7,5,0,3,7,0,3,8,8,10,6,6
8,2011,4,10,2,5,7,12,6,9,5,4,7,5,5,9,4,3,6,1,2,3,5,6,5,9,3,5,8,3,2,6,4,3,6,7,5,3,8,4,6,4,8,4,1,7,7,5,5,8,5,6,5
9,2012,1,1,3,1,3,0,1,5,9,0,0,3,2,0,0,1,4,0,1,8,1,1,0,2,1,1,3,1,4,4,1,2,0,0,2,0,0,0,0,3,0,2,0,0,1,3,0,2,3,1,6
10,2012,2,5,7,2,7,10,4,7,2,8,4,5,2,6,6,12,7,7,4,3,2,2,7,2,5,6,4,6,3,3,8,5,5,3,7,7,4,3,8,5,7,2,4,3,6,4,5,5,7,6,3
11,2012,3,2,4,4,3,7,5,3,4,8,3,5,2,2,4,2,3,7,6,4,3,4,8,7,2,3,6,3,4,5,6,4,3,2,4,2,4,6,5,4,7,5,3,7,4,8,3,8,3,8,2
12,2012,4,2,5,1,4,4,10,2,6,5,3,6,6,7,4,7,7,3,4,1,4,4,4,4,4,4,2,6,5,2,2,6,4,9,6,7,6,4,3,6,3,2,2,6,5,4,7,5,8,2,9
13,2013,1,1,6,5,7,1,2,7,3,1,5,2,4,6,4,3,2,3,6,4,4,4,3,4,7,9,6,5,5,7,7,5,2,4,7,2,2,4,3,4,4,5,1,1,3,5,5,0,6,3,5
14,2013,2,4,0,7,3,1,2,5,3,2,4,4,7,4,3,4,6,5,2,4,3,2,8,7,2,5,4,4,1,2,4,8,2,7,5,8,5,4,3,5,5,2,4,5,4,4,4,8,2,7,2
15,2013,3,6,2,1,4,7,6,5,8,3,6,6,2,5,6,7,2,3,3,5,1,3,1,4,5,6,5,3,4,7,5,4,6,6,3,4,3,6,4,2,0,5,2,4,3,7,3,5,3,3,7
16,2013,4,4,5,7,4,5,4,9,2,3,4,7,5,4,3,3,7,3,3,3,3,6,4,4,3,5,1,2,8,6,3,11,6,4,8,2,5,7,4,7,8,3,8,4,4,4,8,4,6,2,4
17,2014,1,3,5,3,7,8,7,9,4,3,5,4,5,3,5,4,4,6,4,10,2,4,8,4,4,4,4,7,3,5,5,3,6,3,3,6,5,4,3,3,4,5,4,2,1,4,4,2,4,4,7
18,2014,2,3,8,2,2,4,5,5,6,8,5,9,6,5,2,9,3,3,6,4,0,6,4,3,4,3,3,4,4,6,5,2,4,2,8,7,9,6,5,7,6,5,6,7,3,4,4,8,4,3,3
19,2014,3,4,0,4,7,9,2,7,7,1,2,3,6,3,5,2,7,6,1,7,7,3,1,2,3,6,5,7,3,5,7,2,3,10,3,4,6,2,3,3,3,6,4,7,5,6,5,7,5,6,1
20,2014,4,6,3,4,4,2,3,4,4,5,8,4,5,4,9,4,5,5,5,4,2,2,5,4,5,1,2,5,4,6,6,2,5,5,4,6,2,6,5,4,5,9,4,5,4,4,11,4,4,5,4
21,2015,1,8,4,3,4,5,7,8,6,1,3,3,3,4,4,0,6,4,5,1,2,6,8,4,3,6,2,3,3,2,9,11,3,4,4,4,5,5,4,3,3,4,5,7,5,3,3,7,2,6,4
22,2015,2,2,6,5,7,7,5,7,3,4,4,2,2,5,2,3,2,2,4,9,5,4,3,8,5,4,4,1,4,5,5,1,7,5,7,4,5,7,9,4,8,1,0,2,7,6,5,3,7,5,8
23,2015,3,4,4,4,3,5,3,4,2,1,4,4,6,7,3,5,3,4,7,1,3,1,3,3,5,5,2,7,6,2,5,2,7,7,5,4,4,8,5,1,3,11,6,2,5,4,6,2,1,5,10
24,2015,4,3,4,3,5,4,4,4,5,2,4,3,6,5,8,2,3,5,3,3,7,6,2,3,1,0,6,4,7,5,3,3,4,4,3,6,3,4,4,3,4,8,6,3,4,5,2,3,5,3,4
25,2016,1,3,5,3,7,2,6,3,2,2,4,4,7,4,5,1,6,1,7,4,5,4,3,7,3,3,6,11,6,5,7,5,7,9,4,6,1,3,8,5,2,3,3,3,4,4,2,6,3,8,2
26,2016,2,3,7,6,3,3,3,9,5,4,6,3,1,5,4,0,7,7,3,1,9,4,1,6,3,3,5,10,6,4,3,7,3,7,5,2,3,4,5,2,3,8,2,8,5,4,3,7,6,6,5
27,2016,3,4,4,1,4,7,8,2,3,2,2,1,3,2,5,2,1,4,6,3,4,3,3,5,2,2,5,3,8,4,5,6,5,2,5,7,4,3,2,6,2,4,6,3,5,7,3,8,9,3,7
28,2016,4,2,4,5,6,1,5,6,7,5,5,3,6,2,4,5,5,3,6,3,2,2,7,4,7,5,1,7,7,4,4,6,4,3,4,6,2,6,7,2,4,7,7,5,6,10,3,8,8,1,8
29,2017,1,4,3,3,4,6,2,6,6,4,7,8,3,2,7,4,4,0,8,3,3,5,3,3,9,3,4,3,6,5,2,5,3,6,2,4,2,2,2,12,4,5,4,3,4,6,4,7,2,5,5
30,2017,2,5,3,5,4,5,4,2,8,3,4,1,4,4,2,11,3,2,4,2,5,6,4,5,8,6,5,3,4,7,5,5,4,2,4,2,3,7,6,6,5,4,2,3,6,7,1,5,7,3,2
31,2017,3,2,3,1,3,2,3,5,3,3,2,5,5,3,3,8,5,4,1,6,2,3,2,4,5,4,6,7,1,6,3,4,4,3,2,4,5,1,1,1,5,4,3,5,5,2,3,4,3,3,2
32,2017,4,2,4,3,4,2,3,6,1,4,8,5,6,7,1,9,7,2,1,5,3,5,3,2,3,5,6,4,7,3,6,4,5,4,3,6,5,5,4,8,7,2,5,10,3,6,6,5,5,3,2
33,2018,1,5,6,6,6,2,6,1,2,1,5,3,3,4,1,3,4,3,3,2,2,3,6,5,4,2,4,4,5,2,7,6,6,6,2,6,4,4,5,11,4,5,1,7,7,8,4,5,3,7,2
34,2018,2,3,5,4,2,7,8,4,5,4,6,4,5,1,4,2,2,4,3,4,2,2,6,10,3,6,5,2,5,3,8,2,5,5,2,4,2,5,7,11,4,6,7,6,6,4,2,10,4,3,4
35,2018,3,2,5,7,6,6,4,2,4,9,3,5,5,5,4,10,6,2,7,6,5,2,4,4,6,2,5,1,2,5,7,3,2,5,5,2,6,2,7,5,6,5,2,4,5,3,2,6,4,6,6
36,2018,4,2,5,4,6,12,1,8,3,5,5,4,7,4,3,4,5,3,5,1,5,7,5,9,5,1,2,2,3,7,4,4,5,2,4,6,4,1,3,1,1,3,2,6,8,6,6,4,1,5,7
