,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,2009,4,337,52,504,224,2829,349,248,7,1418,680,92,86,971,448,227,225,330,352,93,446,501,733,387,241,444,84,126,187,112,688,161,1513,695,59,845,299,275,930,74,375,61,484,1874,190,46,609,499,155,419,45
1,2010,1,367,64,486,195,2821,384,268,6,1404,741,126,119,957,492,222,209,311,373,92,458,462,727,420,226,440,84,144,190,94,664,156,1451,736,69,864,298,292,946,79,356,53,501,1860,188,56,619,509,142,434,44
2,2010,2,390,52,527,248,2811,395,277,7,1498,717,96,118,974,489,220,230,356,365,115,449,517,795,411,239,450,60,117,196,94,646,136,1442,722,62,858,303,311,972,73,349,48,480,1946,198,51,603,502,146,454,27
3,2010,3,377,63,530,216,2828,363,278,3,1357,719,91,129,946,494,246,232,324,355,107,462,527,756,417,225,423,71,131,207,87,642,151,1439,735,60,893,286,291,940,85,349,60,497,1893,236,46,562,521,147,462,44
4,2010,4,333,60,494,225,2823,396,265,5,1412,743,112,123,957,504,230,198,342,343,115,385,491,770,415,197,471,77,134,219,114,668,162,1418,694,42,812,288,257,982,82,361,65,471,1916,231,55,610,525,124,439,39
5,2011,1,331,54,469,234,2866,409,282,8,1478,771,105,127,998,502,242,216,334,350,94,425,462,782,390,249,484,72,136,194,80,665,159,1512,751,51,914,329,292,922,90,353,76,476,1935,206,60,615,510,158,424,49
6,2011,2,377,57,502,220,2803,380,256,8,1408,730,108,124,978,510,230,228,357,339,107,451,536,753,424,232,438,72,142,201,102,647,155,1436,717,47,879,282,283,1000,74,331,64,473,1954,223,48,648,535,133,414,44
7,2011,3,353,55,497,233,2750,380,303,5,1472,717,96,111,967,445,233,228,338,330,94,458,520,741,442,219,445,73,146,202,106,683,175,1443,740,54,817,275,308,904,62,342,62,475,1910,222,46,592,527,140,431,37
8,2011,4,378,47,502,207,2882,434,300,10,1449,739,118,115,951,479,247,222,329,323,119,469,462,802,414,237,469,87,138,228,113,666,165,1421,702,53,883,286,316,960,71,348,49,496,1840,209,39,583,517,134,426,37
9,2012,1,369,45,497,249,2850,387,275,3,1472,754,70,119,949,480,243,224,322,340,101,435,516,773,423,236,471,74,134,227,109,686,151,1491,741,43,874,302,284,979,68,349,54,486,1984,194,39,641,521,139,409,34
10,2012,2,334,56,514,219,2982,382,257,7,1492,721,95,111,984,484,225,223,337,354,88,451,497,763,429,222,478,73,121,214,118,708,150,1457,749,61,871,265,291,913,85,344,68,499,2053,230,49,639,490,144,448,56
11,2012,3,367,52,493,215,2874,384,300,4,1489,750,101,109,989,514,236,247,324,362,88,482,478,719,399,231,456,86,152,200,87,677,147,1437,713,57,818,264,319,981,72,359,70,452,1971,188,59,590,526,117,455,43
