,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,33,26,25,20,18,32,47,22,19,35,40,18,34,36,43,10,25,25,45,19,22,35,44,13,17,29,38,17,19,33,36,12,26,25,37,23,20,28
1,6,2,2,5,4,5,3,1,6,4,10,5,2,6,9,4,6,6,7,1,5,8,4,2,3,3,5,4,2,7,6,2,4,1,3,2,1,5
2,45,44,54,30,27,28,53,24,25,43,42,32,31,25,43,21,29,41,53,25,38,50,55,24,33,47,52,44,20,47,38,21,29,41,42,45,35,46
3,18,13,17,12,17,12,20,13,11,20,17,14,15,23,22,8,21,21,24,7,9,18,17,14,11,15,20,11,14,18,27,10,20,17,12,16,15,21
4,305,227,260,138,195,240,305,140,144,224,274,122,190,229,278,142,156,236,267,156,168,223,308,154,161,248,321,170,189,235,293,148,172,259,299,139,180,285
5,36,32,38,20,22,29,42,20,19,41,35,12,33,31,31,19,28,30,35,22,18,32,47,18,17,33,47,23,32,35,40,12,20,37,50,23,20,39
6,25,16,32,15,17,20,35,9,16,13,18,16,9,16,29,12,15,20,37,5,19,15,26,9,11,21,35,18,16,19,31,7,17,21,20,20,20,26
7,8,4,7,6,3,3,7,2,2,4,8,4,5,7,7,3,5,5,3,3,1,7,10,3,9,6,7,2,5,6,8,2,4,8,5,1,5,7
8,136,116,137,70,98,123,155,74,87,120,142,71,109,117,135,79,94,127,151,73,75,120,168,81,79,111,163,84,101,137,165,71,105,135,162,77,92,129
9,72,64,59,32,44,50,66,55,45,66,83,49,46,60,74,36,47,51,94,39,47,67,70,39,46,62,78,46,48,56,83,47,48,69,81,27,33,67
10,14,4,12,3,3,3,8,1,5,11,9,4,1,13,11,3,9,9,13,2,9,12,8,12,5,6,10,4,3,10,14,5,7,8,8,6,5,14
11,10,11,8,4,6,13,12,9,5,14,7,6,8,11,10,6,8,11,8,2,10,10,9,5,11,15,10,4,8,9,9,7,10,9,12,5,7,8
12,92,72,100,55,63,85,81,47,62,82,106,46,64,91,106,56,53,76,83,53,51,83,87,43,54,81,93,47,57,79,83,59,60,81,104,60,57,82
13,44,33,52,22,39,32,56,24,34,31,35,25,31,48,54,24,28,38,39,27,31,41,51,35,36,42,56,20,29,31,56,28,34,33,58,18,30,32
14,25,12,28,9,10,19,32,25,14,17,25,15,6,32,30,12,9,15,26,19,11,20,31,16,9,16,23,13,7,23,22,15,16,27,23,9,21,22
15,22,18,24,10,8,23,14,16,11,21,19,11,7,23,21,9,11,16,24,11,12,18,24,8,13,20,19,11,16,17,16,14,11,16,23,12,17,19
16,37,22,33,17,10,24,32,17,16,30,28,9,15,26,32,13,17,27,39,22,18,26,29,19,17,26,27,24,30,32,29,18,28,23,36,13,26,31
17,33,21,34,17,27,32,35,16,14,27,36,18,14,31,42,24,15,27,37,19,22,31,42,15,17,31,34,13,11,33,31,21,25,27,34,15,21,35
18,7,5,10,6,11,6,8,4,3,13,5,5,6,6,6,6,4,2,10,7,7,6,7,5,8,8,9,3,4,9,12,3,7,8,4,5,8,9
19,46,32,49,30,23,34,39,20,20,47,37,26,17,24,54,20,28,43,44,19,30,27,44,34,28,24,48,30,22,29,39,21,29,40,45,19,21,41
20,58,38,57,27,39,40,48,23,32,28,56,27,34,38,47,36,30,40,52,26,30,41,50,20,35,44,48,27,30,39,52,25,33,41,58,27,32,42
21,85,53,73,34,55,58,73,36,47,52,70,40,42,53,71,36,43,61,69,26,63,67,69,36,51,60,77,34,45,72,69,50,50,57,81,46,47,73
22,50,33,45,15,26,29,32,26,18,35,46,15,26,33,37,16,29,21,49,31,18,31,43,21,20,33,30,13,17,34,43,32,19,26,61,28,18,27
23,14,18,21,11,14,29,29,14,15,21,19,11,18,14,18,7,18,17,19,8,12,15,34,9,14,14,19,10,11,14,22,8,15,22,27,16,13,29
24,46,29,52,21,23,32,49,22,30,42,46,26,25,34,43,29,32,34,53,20,26,34,42,33,19,41,46,17,31,50,40,31,34,35,38,23,25,42
25,3,8,9,2,5,5,9,2,5,7,6,4,1,3,7,8,8,3,15,5,8,7,5,4,5,4,10,6,8,12,10,1,3,10,9,1,3,5
26,9,9,13,4,9,17,15,2,13,10,12,9,9,12,16,11,9,10,12,4,9,9,14,7,11,11,15,4,8,16,16,8,7,11,18,5,7,9
27,13,17,19,11,11,17,18,12,13,13,17,6,16,13,22,8,10,26,13,15,16,17,28,8,13,12,28,14,12,18,15,17,8,29,20,8,11,16
28,6,7,14,7,8,4,6,4,4,7,16,9,5,12,8,7,7,8,5,8,4,14,5,7,6,5,8,6,6,5,8,9,7,5,12,2,5,11
29,79,58,72,36,33,65,76,37,37,47,73,32,33,62,71,38,54,52,66,26,47,49,75,39,44,54,67,30,33,63,65,30,49,46,78,37,33,51
30,13,6,14,15,13,13,13,15,12,10,12,11,13,7,15,7,14,10,19,10,8,12,27,10,12,14,7,10,7,13,19,8,7,13,18,7,16,17
31,171,119,123,68,98,116,140,67,103,131,149,86,79,123,131,82,75,121,155,76,94,119,174,77,86,107,160,70,108,111,159,63,95,115,162,78,104,113
32,70,51,64,47,31,53,83,36,42,50,83,44,41,63,72,27,44,60,79,34,38,50,69,43,49,73,72,34,47,66,73,37,47,64,86,49,36,63
33,7,3,3,2,0,4,4,0,6,7,6,5,0,2,6,3,1,3,6,3,1,2,6,1,7,5,4,1,0,4,2,1,0,6,5,4,4,6
34,79,62,86,29,57,69,91,50,63,75,93,49,71,77,84,39,51,84,93,46,58,63,104,46,48,69,83,34,59,63,75,40,43,63,84,43,65,69
35,31,20,30,25,21,22,28,8,19,24,39,14,12,24,41,13,13,25,30,15,13,21,30,12,9,27,24,10,11,20,41,15,12,24,32,16,17,26
36,28,37,23,17,14,25,38,10,17,18,29,13,13,24,29,15,25,24,25,15,16,26,34,16,16,18,31,9,17,21,23,22,15,30,23,18,26,26
37,98,61,96,34,56,75,86,41,49,84,93,63,66,77,100,51,54,82,94,43,65,81,93,66,60,88,104,43,58,66,95,49,48,73,83,55,64,78
38,8,6,6,6,6,9,7,9,2,2,11,3,5,12,10,4,3,11,8,4,9,4,6,0,7,11,9,6,5,5,12,2,2,4,13,5,4,4
39,32,27,29,25,17,32,35,14,34,30,27,24,26,22,37,27,20,30,42,23,25,21,37,16,17,32,34,18,17,30,39,18,26,37,42,12,19,31
40,7,5,4,3,5,9,5,0,4,6,5,3,6,7,8,5,4,2,3,1,4,6,9,4,3,3,1,3,7,7,9,3,8,8,13,3,4,6
41,46,33,52,30,23,44,44,25,28,42,57,24,27,42,40,33,32,48,52,32,34,28,52,24,29,34,48,32,23,28,46,25,35,47,51,22,35,50
