,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,2009,4,1446,92,8336,637,58842,8171,1204,10,30658,17603,539,373,24424,3415,583,325,3142,2101,210,1054,1888,12815,1178,2766,2055,1314,2516,274,1082,2700,1126,20118,8437,814,14477,541,3998,15619,302,1420,75,6280,49458,2315,63,10125,6632,119,3542,33
1,2010,1,27,1,202,8,1588,241,40,0,995,536,3,0,839,124,19,0,101,43,37,1,36,341,33,116,1,54,150,0,91,37,16,580,278,35,332,5,122,526,18,49,3,170,1244,118,28,374,170,4,147,4
2,2010,2,407,114,3029,218,18246,3458,432,7,10479,6735,322,189,9635,919,208,143,1088,693,118,251,491,4132,337,1184,566,783,1503,110,779,647,544,5607,2423,784,4831,146,1513,4824,227,451,92,2079,18242,988,51,3426,2143,54,1116,49
3,2010,3,658,235,3118,410,16561,3358,681,5,8858,6064,437,300,8153,1420,365,234,1460,935,274,453,774,4436,527,1429,755,776,1592,210,972,1004,848,6492,2949,799,5191,276,1767,5121,380,665,146,2500,15069,1339,122,3561,2505,125,1624,123
4,2010,4,681,113,3236,377,16601,3365,677,4,9424,6467,482,244,8529,1364,361,245,1339,967,249,372,739,4492,497,1381,800,809,1451,174,906,939,730,6209,2752,805,5018,275,1787,5060,337,577,136,2368,15977,1313,114,3596,2229,119,1493,64
5,2011,1,56,11,348,20,1247,337,58,2,857,556,17,1,755,109,26,0,152,106,73,0,26,358,24,191,3,98,114,0,95,26,47,517,215,95,330,14,189,452,24,100,3,231,1108,154,35,386,221,15,143,4
6,2011,2,291,117,1710,177,5926,2163,353,3,3929,3122,228,155,4155,584,170,108,658,492,116,164,319,1936,217,903,322,846,818,89,572,310,379,2307,1208,776,2140,127,1039,2024,212,387,59,1191,6818,787,84,1755,1160,71,712,47
7,2011,3,397,230,1736,285,5379,1901,503,3,3370,2815,313,239,3513,768,289,171,886,586,216,295,434,2023,378,1000,469,813,827,167,600,407,485,2395,1355,764,2359,174,1179,2055,292,508,158,1333,5728,956,144,1777,1336,121,889,114
8,2011,4,418,124,1671,261,5442,2032,452,2,3600,2821,325,247,3656,685,258,166,793,612,167,241,393,2114,276,936,405,779,784,136,585,475,445,2282,1302,844,2239,186,1133,1952,271,441,135,1232,5939,927,92,1800,1215,121,851,57
9,2012,1,71,63,445,60,1618,570,87,3,1185,1318,102,83,1414,151,41,12,161,140,65,58,73,838,52,266,69,308,335,25,176,76,202,700,416,273,875,27,265,648,79,134,29,301,2091,289,48,740,427,35,190,35
10,2012,2,261,186,838,219,2471,947,332,1,1912,1891,321,173,2153,428,187,142,490,393,166,174,277,1336,187,696,328,831,931,117,663,241,440,1330,939,870,1442,113,681,1300,258,335,122,665,2972,611,97,1281,677,79,499,56
11,2012,3,276,181,799,217,2285,1015,357,5,1903,1841,330,226,2166,424,238,123,505,401,215,232,299,1302,227,661,306,773,835,138,565,295,499,1297,975,779,1505,125,701,1285,294,330,127,621,2796,693,140,1291,663,76,467,100
12,2012,4,257,130,779,234,2225,973,377,4,1898,1931,353,229,2178,403,222,156,477,444,155,183,267,1278,194,677,283,837,804,137,629,308,479,1297,904,793,1375,129,713,1257,274,326,137,595,2851,633,128,1276,658,82,528,54
13,2013,1,142,122,715,113,1722,817,205,6,1095,1072,216,152,1156,300,146,53,340,309,105,151,200,755,113,453,134,645,723,113,489,153,301,709,512,608,808,69,519,728,143,207,80,460,2583,466,78,739,489,49,332,63
14,2013,2,265,232,889,219,1413,1074,342,6,822,960,343,190,969,497,230,141,475,475,202,178,303,805,232,655,282,857,882,165,658,353,462,743,675,861,856,135,694,792,279,408,151,644,1705,667,122,812,700,88,492,76
15,2013,3,249,225,810,209,1497,989,358,47,909,1009,324,245,1074,466,235,167,509,429,236,265,298,789,244,720,334,825,856,143,613,317,563,816,657,824,893,120,721,831,295,400,174,613,1955,670,161,816,747,95,465,129
16,2013,4,270,137,766,218,1558,969,368,27,902,965,331,221,970,441,216,147,502,486,198,200,301,860,204,659,325,789,828,152,616,285,477,749,654,809,843,146,711,775,252,373,141,575,1881,666,126,804,695,83,463,79
17,2014,1,213,130,841,187,1017,920,305,28,903,1054,316,202,939,407,214,131,436,388,152,213,262,824,164,650,238,749,820,163,567,265,447,683,639,775,758,96,642,692,231,337,123,492,1207,657,108,782,621,72,430,93
18,2014,2,266,185,832,205,816,992,352,45,920,1003,315,212,1062,488,246,143,487,464,204,211,293,824,210,703,277,890,883,159,626,302,507,739,661,796,874,111,701,773,253,363,144,609,937,668,90,789,674,82,469,75
19,2014,3,229,238,845,198,825,1000,349,47,892,1030,330,256,1057,452,254,161,497,422,215,278,336,782,215,671,333,856,884,143,564,279,572,806,637,763,943,114,624,745,272,352,156,557,1031,673,138,726,731,90,453,122
20,2014,4,253,163,805,212,860,947,344,21,881,1026,348,250,1053,427,236,173,538,496,202,198,305,835,192,700,287,854,903,159,554,302,482,762,683,778,795,104,691,716,252,374,154,557,1014,701,121,793,705,83,483,79
21,2015,1,251,139,852,180,862,988,315,7,936,1016,322,215,968,454,246,137,476,467,160,187,239,825,163,587,245,780,830,167,544,276,427,680,599,792,806,113,594,686,199,349,142,521,975,611,99,768,684,58,406,97
22,2015,2,245,200,816,215,835,986,324,6,972,1078,340,265,1125,460,263,132,488,498,189,171,312,876,173,713,288,866,926,165,623,293,535,781,696,788,880,106,712,798,240,402,130,593,1068,621,110,860,756,119,537,81
23,2015,3,226,199,901,229,889,958,373,12,931,1012,322,260,1018,488,256,146,516,484,186,239,325,877,198,705,329,836,898,124,638,288,529,801,654,826,858,106,675,798,231,379,159,564,1060,638,139,791,742,94,504,94
24,2015,4,259,130,884,208,885,988,336,6,899,1000,322,263,1081,516,235,174,508,476,184,208,301,833,181,705,285,863,909,151,580,322,485,803,653,769,830,118,738,760,228,361,135,637,1025,673,132,809,673,79,493,69
25,2016,1,212,121,925,210,883,961,304,3,931,916,341,262,964,453,246,128,435,508,138,204,274,858,157,673,240,772,802,152,596,246,460,730,674,764,808,85,652,696,209,366,130,569,1049,677,107,811,722,68,437,109
26,2016,2,237,194,848,222,903,1003,358,11,930,1031,348,243,1071,504,291,168,501,481,200,199,333,882,176,741,288,859,860,147,579,348,491,730,737,834,897,95,745,796,257,401,150,630,1069,664,108,797,795,75,457,106
27,2016,3,227,249,783,221,953,988,341,7,917,1044,350,289,1058,498,298,168,530,487,271,268,335,881,195,686,313,867,874,168,617,362,517,790,696,854,892,109,721,743,259,453,160,602,1108,694,141,852,789,103,509,142
28,2016,4,231,120,864,234,889,996,360,6,895,1031,364,243,1030,520,277,163,541,500,193,205,319,892,188,737,327,873,904,163,608,331,498,800,723,846,870,114,740,709,255,353,150,660,1039,685,126,875,770,80,495,71
29,2017,1,198,133,869,179,856,937,317,4,952,1002,339,244,949,445,263,144,465,475,169,208,290,804,155,675,251,800,774,154,559,268,446,714,683,797,821,109,693,681,212,345,132,571,1065,643,119,783,691,56,467,104
30,2017,2,237,198,848,226,968,1007,352,4,954,1029,348,237,1043,505,254,152,516,526,194,205,359,870,187,690,275,873,896,145,646,330,528,834,709,843,920,113,737,823,220,444,161,613,1056,646,127,913,769,81,449,61
31,2017,3,207,209,797,245,933,1059,342,4,942,1047,348,258,1146,484,283,173,564,511,256,295,319,879,192,709,317,884,900,152,644,350,644,761,706,873,897,117,733,806,270,430,163,607,1026,719,137,788,803,76,513,144
32,2017,4,238,145,870,234,808,980,336,7,927,1049,354,248,1028,511,283,164,538,515,202,223,310,846,192,788,337,862,949,163,620,336,542,747,719,852,835,116,687,724,252,424,145,601,991,665,118,891,821,82,483,74
33,2018,1,195,97,849,212,916,961,333,2,913,962,366,259,972,443,297,153,462,521,159,211,311,883,157,749,262,821,884,152,592,299,459,738,679,804,849,111,664,719,214,327,135,649,1067,722,103,740,673,78,453,107
34,2018,2,267,201,853,225,893,1069,345,4,1005,1024,364,254,1021,566,283,168,510,540,224,270,376,854,169,722,335,843,952,148,568,338,575,825,741,843,945,105,738,739,266,482,155,664,1064,654,135,930,886,91,543,89
35,2018,3,234,227,871,266,959,1030,392,2,940,1025,317,243,1121,500,257,177,532,586,285,291,336,907,193,765,350,826,962,129,622,356,596,817,751,830,956,99,692,775,281,487,153,691,999,716,139,832,846,87,536,140
36,2018,4,263,124,899,214,902,1025,353,6,972,1005,377,254,1049,531,260,160,549,538,204,227,359,887,181,797,286,894,923,149,606,359,520,814,721,808,864,128,760,777,274,436,171,632,1085,661,150,831,792,77,495,74
