,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,2009,4,10,1401,84,8453,671,58783,8228,1230,8,30722,17839,510,332,24518,3432,582,332,3306,2133,203,999,1894,12750,1170,2787,1972,1390,2484,288,1117,2776,1120,19707,8460,806,14623,515,3602,15822,310,1427,76,6216,49565,2355,44,10060,6436,120,3563,37
1,2009,4,11,2423,139,8955,1194,52330,7883,2081,6,27643,15529,789,568,21005,5412,1114,708,4719,3245,424,1618,3231,13823,2230,3495,3206,1349,2505,512,1467,4527,1502,23937,10149,901,16146,929,4590,16511,564,2352,168,7680,40535,3049,116,10698,7622,273,5201,64
2,2009,4,12,2408,148,9371,1164,54523,8300,2059,8,28788,16542,740,586,22683,5359,1097,696,4578,3157,432,1636,3189,13977,2120,3584,3194,1333,2549,515,1437,4397,1523,24529,10285,968,16357,965,4645,17401,508,2182,172,7841,44391,3030,142,10826,7659,275,5136,60
3,2010,1,1,28,4,227,9,1582,265,49,0,928,539,3,0,826,144,30,0,117,44,44,2,45,396,41,128,2,54,141,0,93,49,21,663,294,42,430,1,133,591,18,62,1,191,1276,103,34,348,210,4,175,7
4,2010,1,2,409,63,3127,180,16251,3207,415,4,10076,6128,314,175,8386,967,219,126,1045,727,102,278,447,4260,270,1083,509,718,1359,126,692,555,465,5132,2358,618,4405,185,1467,4506,180,380,58,1965,15839,1121,69,3215,1931,34,1124,42
5,2010,1,3,597,110,3172,350,14955,3031,624,9,8409,5421,446,265,7034,1373,382,227,1438,962,199,380,711,4384,455,1364,756,755,1402,169,883,911,694,6081,2818,736,4805,251,1683,4639,314,536,125,2352,13473,1280,94,3316,2207,109,1582,93
6,2010,2,4,665,184,3314,366,16271,3405,732,4,9005,5944,466,271,8272,1601,363,240,1544,1010,238,390,798,4679,549,1437,918,789,1557,199,897,1060,788,7202,3081,821,5338,284,1829,5292,353,693,133,2547,14810,1345,110,3779,2567,126,1729,64
7,2010,2,5,710,210,3428,410,16240,3354,729,4,9090,5839,451,281,8098,1503,396,245,1619,1012,290,428,851,4612,592,1531,846,794,1510,199,952,1039,783,7081,3021,791,5517,284,1832,5175,383,694,166,2557,14492,1341,106,3749,2557,138,1707,78
8,2010,2,6,724,195,3387,390,16197,3514,705,9,8943,6042,476,296,7965,1586,378,240,1546,1040,273,434,817,4712,556,1559,872,790,1442,193,969,1069,735,7052,3033,726,5310,271,1840,5196,381,705,165,2653,14844,1311,115,3826,2628,130,1728,66
9,2010,3,7,732,233,3261,424,16464,3465,770,6,8785,5887,421,266,8196,1590,381,242,1670,1098,307,448,830,4695,586,1531,881,794,1550,198,1004,998,840,7082,3084,827,5688,282,1781,5351,370,709,156,2623,14673,1412,130,3770,2695,146,1667,106
