State,DeathsFromPneumoniaAndInfluenza,Year,Week,Quarter
AK,3.0,2009,40,4
AK,3.0,2009,41,4
AK,3.0,2009,42,4
AK,2.0,2009,43,4
AK,6.0,2009,44,4
AK,8.0,2009,45,4
AK,3.0,2009,46,4
AK,7.0,2009,47,4
AK,4.0,2009,48,4
AK,5.0,2009,49,4
AK,5.0,2009,50,4
AK,8.0,2009,51,4
AK,2.0,2009,52,4
AK,4.0,2010,1,1
AK,2.0,2010,2,1
AK,3.0,2010,3,1
AK,2.0,2010,4,1
AK,2.0,2010,5,1
AK,5.0,2010,6,1
AK,6.0,2010,7,1
AK,5.0,2010,8,1
AK,4.0,2010,9,1
AK,7.0,2010,10,1
AK,7.0,2010,11,1
AK,3.0,2010,12,1
AK,6.0,2010,13,1
AK,7.0,2010,14,2
AK,4.0,2010,15,2
AK,3.0,2010,16,2
AK,8.0,2010,17,2
AK,1.0,2010,18,2
AK,6.0,2010,19,2
AK,9.0,2010,20,2
AK,3.0,2010,21,2
AK,2.0,2010,22,2
AK,4.0,2010,23,2
AK,3.0,2010,24,2
AK,5.0,2010,25,2
AK,6.0,2010,26,2
AK,1.0,2010,27,3
AK,2.0,2010,28,3
AK,3.0,2010,29,3
AK,2.0,2010,30,3
AK,4.0,2010,31,3
AK,5.0,2010,32,3
AK,3.0,2010,33,3
AK,2.0,2010,34,3
AK,5.0,2010,35,3
AK,4.0,2010,36,3
AK,2.0,2010,37,3
AK,4.0,2010,38,3
AK,7.0,2010,39,3
AK,6.0,2010,40,4
AK,7.0,2010,41,4
AK,3.0,2010,42,4
AK,4.0,2010,43,4
AK,6.0,2010,44,4
AK,2.0,2010,45,4
AK,6.0,2010,46,4
AK,6.0,2010,47,4
AK,4.0,2010,48,4
AK,5.0,2010,49,4
AK,4.0,2010,50,4
AK,5.0,2010,51,4
AK,7.0,2010,52,4
AK,0.0,2011,1,1
AK,2.0,2011,2,1
AK,8.0,2011,3,1
AK,2.0,2011,4,1
AK,6.0,2011,5,1
AK,4.0,2011,6,1
AK,6.0,2011,7,1
AK,8.0,2011,8,1
AK,9.0,2011,9,1
AK,4.0,2011,10,1
AK,11.0,2011,11,1
AK,7.0,2011,12,1
AK,11.0,2011,13,1
AK,2.0,2011,14,2
AK,4.0,2011,15,2
AK,5.0,2011,16,2
AK,3.0,2011,17,2
AK,3.0,2011,18,2
AK,7.0,2011,19,2
AK,3.0,2011,20,2
AK,4.0,2011,21,2
AK,4.0,2011,22,2
AK,6.0,2011,23,2
AK,5.0,2011,24,2
AK,8.0,2011,25,2
AK,3.0,2011,26,2
AK,4.0,2011,27,3
AK,6.0,2011,28,3
